DATE,GS1,GS2,GS3,GS5,GS10,GS20,GS30
2009-06-01,0.51,1.18,1.76,2.71,3.72,4.51,4.52
2009-07-01,0.48,1.02,1.55,2.46,3.56,4.38,4.41
2009-08-01,0.46,1.12,1.65,2.57,3.59,4.33,4.37
2009-09-01,0.4,0.96,1.48,2.37,3.4,4.14,4.19
2009-10-01,0.37,0.95,1.46,2.33,3.39,4.16,4.19
2009-11-01,0.31,0.8,1.32,2.23,3.4,4.24,4.31
2009-12-01,0.37,0.87,1.38,2.34,3.59,4.4,4.49
2010-01-01,0.35,0.93,1.49,2.48,3.73,4.5,4.6
2010-02-01,0.35,0.86,1.4,2.36,3.69,4.48,4.62
2010-03-01,0.4,0.96,1.51,2.43,3.73,4.49,4.64
2010-04-01,0.45,1.06,1.64,2.58,3.85,4.53,4.69
2010-05-01,0.37,0.83,1.32,2.18,3.42,4.11,4.29
2010-06-01,0.32,0.72,1.17,2.0,3.2,3.95,4.13
2010-07-01,0.29,0.62,0.98,1.76,3.01,3.8,3.99
2010-08-01,0.26,0.52,0.78,1.47,2.7,3.52,3.8
2010-09-01,0.26,0.48,0.74,1.41,2.65,3.47,3.77
2010-10-01,0.23,0.38,0.57,1.18,2.54,3.52,3.87
2010-11-01,0.25,0.45,0.67,1.35,2.76,3.82,4.19
2010-12-01,0.29,0.62,0.99,1.93,3.29,4.17,4.42
2011-01-01,0.27,0.61,1.03,1.99,3.39,4.28,4.52
2011-02-01,0.29,0.77,1.28,2.26,3.58,4.42,4.65
2011-03-01,0.26,0.7,1.17,2.11,3.41,4.27,4.51
2011-04-01,0.25,0.73,1.21,2.17,3.46,4.28,4.5
2011-05-01,0.19,0.56,0.94,1.84,3.17,4.01,4.29
2011-06-01,0.18,0.41,0.71,1.58,3.0,3.91,4.23
2011-07-01,0.19,0.41,0.68,1.54,3.0,3.95,4.27
2011-08-01,0.11,0.23,0.38,1.02,2.3,3.24,3.65
2011-09-01,0.1,0.21,0.35,0.9,1.98,2.83,3.18
2011-10-01,0.11,0.28,0.47,1.06,2.15,2.87,3.13
2011-11-01,0.11,0.25,0.39,0.91,2.01,2.72,3.02
2011-12-01,0.12,0.26,0.39,0.89,1.98,2.67,2.98
2012-01-01,0.12,0.24,0.36,0.84,1.97,2.7,3.03
2012-02-01,0.16,0.28,0.38,0.83,1.97,2.75,3.11
2012-03-01,0.19,0.34,0.51,1.02,2.17,2.94,3.28
2012-04-01,0.18,0.29,0.43,0.89,2.05,2.82,3.18
2012-05-01,0.19,0.29,0.39,0.76,1.8,2.53,2.93
2012-06-01,0.19,0.29,0.39,0.71,1.62,2.31,2.7
2012-07-01,0.19,0.25,0.33,0.62,1.53,2.22,2.59
2012-08-01,0.18,0.27,0.37,0.71,1.68,2.4,2.77
2012-09-01,0.18,0.26,0.34,0.67,1.72,2.49,2.88
2012-10-01,0.18,0.28,0.37,0.71,1.75,2.51,2.9
2012-11-01,0.18,0.27,0.36,0.67,1.65,2.39,2.8
2012-12-01,0.16,0.26,0.35,0.7,1.72,2.47,2.88
2013-01-01,0.15,0.27,0.39,0.81,1.91,2.68,3.08
2013-02-01,0.16,0.27,0.4,0.85,1.98,2.78,3.17
2013-03-01,0.15,0.26,0.39,0.82,1.96,2.78,3.16
2013-04-01,0.12,0.23,0.34,0.71,1.76,2.55,2.93
2013-05-01,0.12,0.25,0.4,0.84,1.93,2.73,3.11
2013-06-01,0.14,0.33,0.58,1.2,2.3,3.07,3.4
2013-07-01,0.12,0.34,0.64,1.4,2.58,3.31,3.61
2013-08-01,0.13,0.36,0.7,1.52,2.74,3.49,3.76
2013-09-01,0.12,0.4,0.78,1.6,2.81,3.53,3.79
2013-10-01,0.12,0.34,0.63,1.37,2.62,3.38,3.68
2013-11-01,0.12,0.3,0.58,1.37,2.72,3.5,3.8
2013-12-01,0.13,0.34,0.69,1.58,2.9,3.63,3.89
2014-01-01,0.12,0.39,0.78,1.65,2.86,3.52,3.77
2014-02-01,0.12,0.33,0.69,1.52,2.71,3.38,3.66
2014-03-01,0.13,0.4,0.82,1.64,2.72,3.35,3.62
2014-04-01,0.11,0.42,0.88,1.7,2.71,3.27,3.52
2014-05-01,0.1,0.39,0.83,1.59,2.56,3.12,3.39
2014-06-01,0.1,0.45,0.9,1.68,2.6,3.15,3.42
2014-07-01,0.11,0.51,0.97,1.7,2.54,3.07,3.33
2014-08-01,0.11,0.47,0.93,1.63,2.42,2.94,3.2
2014-09-01,0.11,0.57,1.05,1.77,2.53,3.01,3.26
2014-10-01,0.1,0.45,0.88,1.55,2.3,2.77,3.04
