DATE,GS2
2000-01-01,6.44
2000-02-01,6.61
2000-03-01,6.53
2000-04-01,6.40
2000-05-01,6.81
2000-06-01,6.48
2000-07-01,6.34
2000-08-01,6.23
2000-09-01,6.08
2000-10-01,5.91
2000-11-01,5.88
2000-12-01,5.35
2001-01-01,4.76
2001-02-01,4.66
2001-03-01,4.34
2001-04-01,4.23
2001-05-01,4.26
2001-06-01,4.08
2001-07-01,4.04
2001-08-01,3.76
2001-09-01,3.12
2001-10-01,2.73
2001-11-01,2.78
2001-12-01,3.11
2002-01-01,3.03
2002-02-01,3.02
2002-03-01,3.56
2002-04-01,3.42
2002-05-01,3.26
2002-06-01,2.99
2002-07-01,2.56
2002-08-01,2.13
2002-09-01,2.00
2002-10-01,1.91
2002-11-01,1.92
2002-12-01,1.84
2003-01-01,1.74
2003-02-01,1.63
2003-03-01,1.57
2003-04-01,1.62
2003-05-01,1.42
2003-06-01,1.23
2003-07-01,1.47
2003-08-01,1.86
2003-09-01,1.71
2003-10-01,1.75
2003-11-01,1.93
2003-12-01,1.91
2004-01-01,1.76
2004-02-01,1.74
2004-03-01,1.58
2004-04-01,2.07
2004-05-01,2.53
2004-06-01,2.76
2004-07-01,2.64
2004-08-01,2.51
2004-09-01,2.53
2004-10-01,2.58
2004-11-01,2.85
2004-12-01,3.01
2005-01-01,3.22
2005-02-01,3.38
2005-03-01,3.73
2005-04-01,3.65
2005-05-01,3.64
2005-06-01,3.64
2005-07-01,3.87
2005-08-01,4.04
2005-09-01,3.95
2005-10-01,4.27
2005-11-01,4.42
2005-12-01,4.40
2006-01-01,4.40
2006-02-01,4.67
2006-03-01,4.73
2006-04-01,4.89
2006-05-01,4.97
2006-06-01,5.12
2006-07-01,5.12
2006-08-01,4.90
2006-09-01,4.77
2006-10-01,4.80
2006-11-01,4.74
2006-12-01,4.67
2007-01-01,4.88
2007-02-01,4.85
2007-03-01,4.57
2007-04-01,4.67
2007-05-01,4.77
2007-06-01,4.98
2007-07-01,4.82
2007-08-01,4.31
2007-09-01,4.01
2007-10-01,3.97
2007-11-01,3.34
2007-12-01,3.12
2008-01-01,2.48
2008-02-01,1.97
2008-03-01,1.62
2008-04-01,2.05
2008-05-01,2.45
2008-06-01,2.77
2008-07-01,2.57
2008-08-01,2.42
2008-09-01,2.08
2008-10-01,1.61
2008-11-01,1.21
2008-12-01,0.82
2009-01-01,0.81
2009-02-01,0.98
2009-03-01,0.93
2009-04-01,0.93
2009-05-01,0.93
2009-06-01,1.18
2009-07-01,1.02
2009-08-01,1.12
2009-09-01,0.96
2009-10-01,0.95
2009-11-01,0.80
2009-12-01,0.87
2010-01-01,0.93
2010-02-01,0.86
2010-03-01,0.96
2010-04-01,1.06
2010-05-01,0.83
2010-06-01,0.72
2010-07-01,0.62
2010-08-01,0.52
2010-09-01,0.48
2010-10-01,0.38
2010-11-01,0.45
2010-12-01,0.62
2011-01-01,0.61
2011-02-01,0.77
2011-03-01,0.70
2011-04-01,0.73
2011-05-01,0.56
2011-06-01,0.41
2011-07-01,0.41
2011-08-01,0.23
2011-09-01,0.21
2011-10-01,0.28
2011-11-01,0.25
2011-12-01,0.26
2012-01-01,0.24
2012-02-01,0.28
2012-03-01,0.34
2012-04-01,0.29
2012-05-01,0.29
2012-06-01,0.29
2012-07-01,0.25
2012-08-01,0.27
2012-09-01,0.26
2012-10-01,0.28
2012-11-01,0.27
2012-12-01,0.26
2013-01-01,0.27
2013-02-01,0.27
2013-03-01,0.26
2013-04-01,0.23
2013-05-01,0.25
2013-06-01,0.33
2013-07-01,0.34
2013-08-01,0.36
2013-09-01,0.40
2013-10-01,0.34
2013-11-01,0.30
2013-12-01,0.34
2014-01-01,0.39
2014-02-01,0.33
2014-03-01,0.40
2014-04-01,0.42
2014-05-01,0.39
2014-06-01,0.45
2014-07-01,0.51
2014-08-01,0.47
2014-09-01,0.57
2014-10-01,0.45
2014-11-01,0.53
2014-12-01,0.64
2015-01-01,0.55
2015-02-01,0.62
2015-03-01,0.64
2015-04-01,0.54
2015-05-01,0.61
2015-06-01,0.69
2015-07-01,0.67
2015-08-01,0.70
2015-09-01,0.71
2015-10-01,0.64
2015-11-01,0.88
2015-12-01,0.98
2016-01-01,0.90
2016-02-01,0.73
2016-03-01,0.88
2016-04-01,0.77
2016-05-01,0.82
2016-06-01,0.73
2016-07-01,0.67
2016-08-01,0.74
2016-09-01,0.77
2016-10-01,0.84
2016-11-01,0.98
2016-12-01,1.20
2017-01-01,1.21
2017-02-01,1.20
2017-03-01,1.31
2017-04-01,1.24
2017-05-01,1.30
2017-06-01,1.34
2017-07-01,1.37
2017-08-01,1.34
2017-09-01,1.38
2017-10-01,1.55
2017-11-01,1.70
2017-12-01,1.84
2018-01-01,2.03
2018-02-01,2.18
2018-03-01,2.28
2018-04-01,2.38
2018-05-01,2.51
2018-06-01,2.53
2018-07-01,2.61
2018-08-01,2.64
2018-09-01,2.77
2018-10-01,2.86
2018-11-01,2.86
2018-12-01,2.68
2019-01-01,2.54
2019-02-01,2.50
2019-03-01,2.41
2019-04-01,2.34
2019-05-01,2.21
2019-06-01,1.81
2019-07-01,1.84
2019-08-01,1.57
2019-09-01,1.65
2019-10-01,1.55
2019-11-01,1.61
2019-12-01,1.61
2020-01-01,1.52
2020-02-01,1.33
2020-03-01,0.45
2020-04-01,0.22
2020-05-01,0.17
2020-06-01,0.19
2020-07-01,0.15
2020-08-01,0.14
2020-09-01,0.13
2020-10-01,0.15
2020-11-01,0.17
2020-12-01,0.14
2021-01-01,0.13
2021-02-01,0.12
2021-03-01,0.15
2021-04-01,0.16
2021-05-01,0.16
2021-06-01,0.20
2021-07-01,0.22
2021-08-01,0.22
2021-09-01,0.24
2021-10-01,0.39
2021-11-01,0.51
2021-12-01,0.68
2022-01-01,0.98
2022-02-01,1.44
2022-03-01,1.91
2022-04-01,2.54
2022-05-01,2.62
2022-06-01,3.00
2022-07-01,3.04
2022-08-01,3.25
2022-09-01,3.86
2022-10-01,4.38
2022-11-01,4.50
2022-12-01,4.29
2023-01-01,4.21
2023-02-01,4.53
2023-03-01,4.30
2023-04-01,4.02
