DATE,GS30
2000-01-01,6.63
2000-02-01,6.23
2000-03-01,6.05
2000-04-01,5.85
2000-05-01,6.15
2000-06-01,5.93
2000-07-01,5.85
2000-08-01,5.72
2000-09-01,5.83
2000-10-01,5.80
2000-11-01,5.78
2000-12-01,5.49
2001-01-01,5.54
2001-02-01,5.45
2001-03-01,5.34
2001-04-01,5.65
2001-05-01,5.78
2001-06-01,5.67
2001-07-01,5.61
2001-08-01,5.48
2001-09-01,5.48
2001-10-01,5.32
2001-11-01,5.12
2001-12-01,5.48
2002-01-01,5.45
2002-02-01,5.45
2002-03-01,5.81
2002-04-01,5.79
2002-05-01,5.76
2002-06-01,5.68
2002-07-01,5.59
2002-08-01,5.28
2002-09-01,4.96
2002-10-01,5.18
2002-11-01,5.18
2002-12-01,5.13
2003-01-01,5.14
2003-02-01,5.02
2003-03-01,5.03
2003-04-01,5.13
2003-05-01,4.76
2003-06-01,4.62
2003-07-01,5.13
2003-08-01,5.45
2003-09-01,5.28
2003-10-01,5.30
2003-11-01,5.25
2003-12-01,5.21
2004-01-01,5.13
2004-02-01,5.08
2004-03-01,4.90
2004-04-01,5.28
2004-05-01,5.51
2004-06-01,5.48
2004-07-01,5.31
2004-08-01,5.15
2004-09-01,4.98
2004-10-01,4.94
2004-11-01,4.95
2004-12-01,4.91
2005-01-01,4.77
2005-02-01,4.56
2005-03-01,4.77
2005-04-01,4.65
2005-05-01,4.49
2005-06-01,4.28
2005-07-01,4.38
2005-08-01,4.44
2005-09-01,4.45
2005-10-01,4.64
2005-11-01,4.70
2005-12-01,4.62
2006-01-01,4.57
2006-02-01,4.57
2006-03-01,4.73
2006-04-01,5.06
2006-05-01,5.20
2006-06-01,5.15
2006-07-01,5.13
2006-08-01,5.00
2006-09-01,4.85
2006-10-01,4.85
2006-11-01,4.69
2006-12-01,4.68
2007-01-01,4.85
2007-02-01,4.82
2007-03-01,4.72
2007-04-01,4.87
2007-05-01,4.90
2007-06-01,5.20
2007-07-01,5.11
2007-08-01,4.93
2007-09-01,4.79
2007-10-01,4.77
2007-11-01,4.52
2007-12-01,4.53
2008-01-01,4.33
2008-02-01,4.52
2008-03-01,4.39
2008-04-01,4.44
2008-05-01,4.60
2008-06-01,4.69
