DATE,GS3
2000-01-01,6.49
2000-02-01,6.65
2000-03-01,6.53
2000-04-01,6.36
2000-05-01,6.77
2000-06-01,6.43
2000-07-01,6.28
2000-08-01,6.17
2000-09-01,6.02
2000-10-01,5.85
2000-11-01,5.79
2000-12-01,5.26
2001-01-01,4.77
2001-02-01,4.71
2001-03-01,4.43
2001-04-01,4.42
2001-05-01,4.51
2001-06-01,4.35
2001-07-01,4.31
2001-08-01,4.04
2001-09-01,3.45
2001-10-01,3.14
2001-11-01,3.22
2001-12-01,3.62
2002-01-01,3.56
2002-02-01,3.55
2002-03-01,4.14
2002-04-01,4.01
2002-05-01,3.80
2002-06-01,3.49
2002-07-01,3.01
2002-08-01,2.52
2002-09-01,2.32
2002-10-01,2.25
2002-11-01,2.32
2002-12-01,2.23
2003-01-01,2.18
2003-02-01,2.05
2003-03-01,1.98
2003-04-01,2.06
2003-05-01,1.75
2003-06-01,1.51
2003-07-01,1.93
2003-08-01,2.44
2003-09-01,2.23
2003-10-01,2.26
2003-11-01,2.45
2003-12-01,2.44
2004-01-01,2.27
2004-02-01,2.25
2004-03-01,2.00
2004-04-01,2.57
2004-05-01,3.10
2004-06-01,3.26
2004-07-01,3.05
2004-08-01,2.88
2004-09-01,2.83
2004-10-01,2.85
2004-11-01,3.09
2004-12-01,3.21
2005-01-01,3.39
2005-02-01,3.54
2005-03-01,3.91
2005-04-01,3.79
2005-05-01,3.72
2005-06-01,3.69
2005-07-01,3.91
2005-08-01,4.08
2005-09-01,3.96
2005-10-01,4.29
2005-11-01,4.43
2005-12-01,4.39
2006-01-01,4.35
2006-02-01,4.64
2006-03-01,4.74
2006-04-01,4.89
2006-05-01,4.97
2006-06-01,5.09
2006-07-01,5.07
2006-08-01,4.85
2006-09-01,4.69
2006-10-01,4.72
2006-11-01,4.64
2006-12-01,4.58
2007-01-01,4.79
2007-02-01,4.75
2007-03-01,4.51
2007-04-01,4.60
2007-05-01,4.69
2007-06-01,5.00
2007-07-01,4.82
2007-08-01,4.34
2007-09-01,4.06
2007-10-01,4.01
2007-11-01,3.35
2007-12-01,3.13
2008-01-01,2.51
2008-02-01,2.19
2008-03-01,1.80
2008-04-01,2.23
2008-05-01,2.69
2008-06-01,3.08
2008-07-01,2.87
2008-08-01,2.70
2008-09-01,2.32
2008-10-01,1.86
2008-11-01,1.51
2008-12-01,1.07
2009-01-01,1.13
2009-02-01,1.37
2009-03-01,1.31
2009-04-01,1.32
2009-05-01,1.39
2009-06-01,1.76
2009-07-01,1.55
2009-08-01,1.65
2009-09-01,1.48
2009-10-01,1.46
2009-11-01,1.32
2009-12-01,1.38
2010-01-01,1.49
2010-02-01,1.40
2010-03-01,1.51
2010-04-01,1.64
2010-05-01,1.32
2010-06-01,1.17
2010-07-01,0.98
2010-08-01,0.78
2010-09-01,0.74
2010-10-01,0.57
2010-11-01,0.67
2010-12-01,0.99
2011-01-01,1.03
2011-02-01,1.28
2011-03-01,1.17
2011-04-01,1.21
2011-05-01,0.94
2011-06-01,0.71
2011-07-01,0.68
2011-08-01,0.38
2011-09-01,0.35
2011-10-01,0.47
2011-11-01,0.39
2011-12-01,0.39
2012-01-01,0.36
2012-02-01,0.38
2012-03-01,0.51
2012-04-01,0.43
2012-05-01,0.39
2012-06-01,0.39
2012-07-01,0.33
2012-08-01,0.37
2012-09-01,0.34
2012-10-01,0.37
2012-11-01,0.36
2012-12-01,0.35
2013-01-01,0.39
2013-02-01,0.40
2013-03-01,0.39
2013-04-01,0.34
2013-05-01,0.40
2013-06-01,0.58
2013-07-01,0.64
2013-08-01,0.70
2013-09-01,0.78
2013-10-01,0.63
2013-11-01,0.58
2013-12-01,0.69
2014-01-01,0.78
2014-02-01,0.69
2014-03-01,0.82
2014-04-01,0.88
2014-05-01,0.83
2014-06-01,0.90
2014-07-01,0.97
2014-08-01,0.93
2014-09-01,1.05
2014-10-01,0.88
2014-11-01,0.96
2014-12-01,1.06
2015-01-01,0.90
2015-02-01,0.99
2015-03-01,1.02
2015-04-01,0.87
2015-05-01,0.98
2015-06-01,1.07
2015-07-01,1.03
2015-08-01,1.03
2015-09-01,1.01
2015-10-01,0.93
2015-11-01,1.20
2015-12-01,1.28
2016-01-01,1.14
2016-02-01,0.90
2016-03-01,1.04
2016-04-01,0.92
2016-05-01,0.97
2016-06-01,0.86
2016-07-01,0.79
2016-08-01,0.85
2016-09-01,0.90
2016-10-01,0.99
2016-11-01,1.22
2016-12-01,1.49
2017-01-01,1.48
2017-02-01,1.47
2017-03-01,1.59
2017-04-01,1.44
2017-05-01,1.48
2017-06-01,1.49
2017-07-01,1.54
2017-08-01,1.48
2017-09-01,1.51
2017-10-01,1.68
2017-11-01,1.81
2017-12-01,1.96
2018-01-01,2.15
2018-02-01,2.36
2018-03-01,2.42
2018-04-01,2.52
2018-05-01,2.66
2018-06-01,2.65
2018-07-01,2.70
2018-08-01,2.71
2018-09-01,2.84
2018-10-01,2.94
2018-11-01,2.91
2018-12-01,2.67
2019-01-01,2.52
2019-02-01,2.48
2019-03-01,2.37
2019-04-01,2.31
2019-05-01,2.16
2019-06-01,1.78
2019-07-01,1.80
2019-08-01,1.51
2019-09-01,1.59
2019-10-01,1.53
2019-11-01,1.61
2019-12-01,1.63
2020-01-01,1.52
2020-02-01,1.31
2020-03-01,0.50
2020-04-01,0.28
2020-05-01,0.22
2020-06-01,0.22
2020-07-01,0.17
2020-08-01,0.16
2020-09-01,0.16
2020-10-01,0.19
2020-11-01,0.22
2020-12-01,0.19
2021-01-01,0.20
2021-02-01,0.21
2021-03-01,0.32
2021-04-01,0.35
2021-05-01,0.32
2021-06-01,0.39
2021-07-01,0.40
2021-08-01,0.42
2021-09-01,0.47
2021-10-01,0.67
2021-11-01,0.82
2021-12-01,0.95
2022-01-01,1.25
2022-02-01,1.65
2022-03-01,2.09
2022-04-01,2.72
2022-05-01,2.79
2022-06-01,3.15
2022-07-01,3.03
2022-08-01,3.23
2022-09-01,3.88
2022-10-01,4.38
2022-11-01,4.34
2022-12-01,4.05
2023-01-01,3.91
2023-02-01,4.23
2023-03-01,4.09
2023-04-01,3.76
