DATE,GS1
2000-01-01,6.12
2000-02-01,6.22
2000-03-01,6.22
2000-04-01,6.15
2000-05-01,6.33
2000-06-01,6.17
2000-07-01,6.08
2000-08-01,6.18
2000-09-01,6.13
2000-10-01,6.01
2000-11-01,6.09
2000-12-01,5.60
2001-01-01,4.81
2001-02-01,4.68
2001-03-01,4.30
2001-04-01,3.98
2001-05-01,3.78
2001-06-01,3.58
2001-07-01,3.62
2001-08-01,3.47
2001-09-01,2.82
2001-10-01,2.33
2001-11-01,2.18
2001-12-01,2.22
2002-01-01,2.16
2002-02-01,2.23
2002-03-01,2.57
2002-04-01,2.48
2002-05-01,2.35
2002-06-01,2.20
2002-07-01,1.96
2002-08-01,1.76
2002-09-01,1.72
2002-10-01,1.65
2002-11-01,1.49
2002-12-01,1.45
2003-01-01,1.36
2003-02-01,1.30
2003-03-01,1.24
2003-04-01,1.27
2003-05-01,1.18
2003-06-01,1.01
2003-07-01,1.12
2003-08-01,1.31
2003-09-01,1.24
2003-10-01,1.25
2003-11-01,1.34
2003-12-01,1.31
2004-01-01,1.24
2004-02-01,1.24
2004-03-01,1.19
2004-04-01,1.43
2004-05-01,1.78
2004-06-01,2.12
2004-07-01,2.10
2004-08-01,2.02
2004-09-01,2.12
2004-10-01,2.23
2004-11-01,2.50
2004-12-01,2.67
2005-01-01,2.86
2005-02-01,3.03
2005-03-01,3.30
2005-04-01,3.32
2005-05-01,3.33
2005-06-01,3.36
2005-07-01,3.64
2005-08-01,3.87
2005-09-01,3.85
2005-10-01,4.18
2005-11-01,4.33
2005-12-01,4.35
2006-01-01,4.45
2006-02-01,4.68
2006-03-01,4.77
2006-04-01,4.90
2006-05-01,5.00
2006-06-01,5.16
2006-07-01,5.22
2006-08-01,5.08
2006-09-01,4.97
2006-10-01,5.01
2006-11-01,5.01
2006-12-01,4.94
2007-01-01,5.06
2007-02-01,5.05
2007-03-01,4.92
2007-04-01,4.93
2007-05-01,4.91
2007-06-01,4.96
2007-07-01,4.96
2007-08-01,4.47
2007-09-01,4.14
2007-10-01,4.10
2007-11-01,3.50
2007-12-01,3.26
2008-01-01,2.71
2008-02-01,2.05
2008-03-01,1.54
2008-04-01,1.74
2008-05-01,2.06
2008-06-01,2.42
2008-07-01,2.28
2008-08-01,2.18
2008-09-01,1.91
2008-10-01,1.42
2008-11-01,1.07
2008-12-01,0.49
2009-01-01,0.44
2009-02-01,0.62
2009-03-01,0.64
2009-04-01,0.55
2009-05-01,0.50
2009-06-01,0.51
2009-07-01,0.48
2009-08-01,0.46
2009-09-01,0.40
2009-10-01,0.37
2009-11-01,0.31
2009-12-01,0.37
2010-01-01,0.35
2010-02-01,0.35
2010-03-01,0.40
2010-04-01,0.45
2010-05-01,0.37
2010-06-01,0.32
2010-07-01,0.29
2010-08-01,0.26
2010-09-01,0.26
2010-10-01,0.23
2010-11-01,0.25
2010-12-01,0.29
2011-01-01,0.27
2011-02-01,0.29
2011-03-01,0.26
2011-04-01,0.25
2011-05-01,0.19
2011-06-01,0.18
2011-07-01,0.19
2011-08-01,0.11
2011-09-01,0.10
2011-10-01,0.11
2011-11-01,0.11
2011-12-01,0.12
2012-01-01,0.12
2012-02-01,0.16
2012-03-01,0.19
2012-04-01,0.18
2012-05-01,0.19
2012-06-01,0.19
2012-07-01,0.19
2012-08-01,0.18
2012-09-01,0.18
2012-10-01,0.18
2012-11-01,0.18
2012-12-01,0.16
2013-01-01,0.15
2013-02-01,0.16
2013-03-01,0.15
2013-04-01,0.12
2013-05-01,0.12
2013-06-01,0.14
2013-07-01,0.12
2013-08-01,0.13
2013-09-01,0.12
2013-10-01,0.12
2013-11-01,0.12
2013-12-01,0.13
2014-01-01,0.12
2014-02-01,0.12
2014-03-01,0.13
2014-04-01,0.11
2014-05-01,0.10
2014-06-01,0.10
2014-07-01,0.11
2014-08-01,0.11
2014-09-01,0.11
2014-10-01,0.10
2014-11-01,0.13
2014-12-01,0.21
2015-01-01,0.20
2015-02-01,0.22
2015-03-01,0.25
2015-04-01,0.23
2015-05-01,0.24
2015-06-01,0.28
2015-07-01,0.30
2015-08-01,0.38
2015-09-01,0.37
2015-10-01,0.26
2015-11-01,0.48
2015-12-01,0.65
2016-01-01,0.54
2016-02-01,0.53
2016-03-01,0.66
2016-04-01,0.56
2016-05-01,0.59
2016-06-01,0.55
2016-07-01,0.51
2016-08-01,0.57
2016-09-01,0.59
2016-10-01,0.66
2016-11-01,0.74
2016-12-01,0.87
2017-01-01,0.83
2017-02-01,0.82
2017-03-01,1.01
2017-04-01,1.04
2017-05-01,1.12
2017-06-01,1.20
2017-07-01,1.22
2017-08-01,1.23
2017-09-01,1.28
2017-10-01,1.40
2017-11-01,1.56
2017-12-01,1.70
2018-01-01,1.80
2018-02-01,1.96
2018-03-01,2.06
2018-04-01,2.15
2018-05-01,2.27
2018-06-01,2.33
2018-07-01,2.39
2018-08-01,2.45
2018-09-01,2.56
2018-10-01,2.65
2018-11-01,2.70
2018-12-01,2.66
2019-01-01,2.58
2019-02-01,2.55
2019-03-01,2.49
2019-04-01,2.42
2019-05-01,2.34
2019-06-01,2.00
2019-07-01,1.96
2019-08-01,1.77
2019-09-01,1.80
2019-10-01,1.61
2019-11-01,1.57
2019-12-01,1.55
2020-01-01,1.53
2020-02-01,1.41
2020-03-01,0.33
2020-04-01,0.18
2020-05-01,0.16
2020-06-01,0.18
2020-07-01,0.15
2020-08-01,0.13
2020-09-01,0.13
2020-10-01,0.13
2020-11-01,0.12
2020-12-01,0.10
2021-01-01,0.10
2021-02-01,0.07
2021-03-01,0.08
2021-04-01,0.06
2021-05-01,0.05
2021-06-01,0.07
2021-07-01,0.08
2021-08-01,0.07
2021-09-01,0.08
2021-10-01,0.11
2021-11-01,0.18
2021-12-01,0.30
2022-01-01,0.55
2022-02-01,1.00
2022-03-01,1.34
2022-04-01,1.89
2022-05-01,2.06
2022-06-01,2.65
2022-07-01,3.02
2022-08-01,3.28
2022-09-01,3.89
2022-10-01,4.43
2022-11-01,4.73
2022-12-01,4.68
2023-01-01,4.69
2023-02-01,4.93
2023-03-01,4.68
2023-04-01,4.68
